"ID,""Collection"",""ENS"",""Minting Date"",""Tx Count"",""Power"""
"1119868,""0xe58130a60d7128ffb6ff6c1f99a66ec65f7f73fd"","""",""Mon, 06 Sep 2021 17:16:00 GMT"",""1"",""5"""
"1119906,""0x17e2110610bd9db962d90621b642a1f0690151e0"","""",""Mon, 06 Sep 2021 17:25:30 GMT"",""1"",""4"""
"1119937,""0xd689478d44a438798ee0dc07657cce2135c0aef7"",""truss.eth"",""Mon, 06 Sep 2021 17:31:40 GMT"",""1"",""336"""
"1119940,""0xf0a2734313c0838413dc7959d083618522a9daf5"","""",""Mon, 06 Sep 2021 17:32:15 GMT"",""1"",""126"""
"1119943,""0xdf8fc03e54f93e67cfec067889a01fb4af6baf8b"","""",""Mon, 06 Sep 2021 17:32:20 GMT"",""1"",""106"""
"1119944,""0x38bfc9f91dfd513e075f181003443cedf5f4e49b"","""",""Mon, 06 Sep 2021 17:32:35 GMT"",""1"",""39"""
"1119948,""0xfb469965ec425d5b83da58dd75a3a77ac06eafa1"","""",""Mon, 06 Sep 2021 17:33:40 GMT"",""1"",""253"""
"1119951,""0x3457d9bdfb7e1bfefe392cf0c7106e72ea23d09f"","""",""Mon, 06 Sep 2021 17:33:45 GMT"",""1"",""101"""
"1119954,""0x9fddba1c51fa79c6cdaeaa8cf6f236a084674b8b"","""",""Mon, 06 Sep 2021 17:34:15 GMT"",""1"",""131"""
"1119956,""0xf2c86508ed9d7f74207ee39979ddf8b9692ef7d3"","""",""Mon, 06 Sep 2021 17:34:20 GMT"",""1"",""438"""
"1119972,""0x86f6e643f741f9592bed647a5cfd493c64602bc1"","""",""Mon, 06 Sep 2021 17:37:05 GMT"",""1"",""205"""
"1119975,""0x4fc98e5828ec2e701f9babca47a38a45ae02fb98"","""",""Mon, 06 Sep 2021 17:38:05 GMT"",""1"",""53"""
"1119977,""0xbad8c838691dc15ce968c513cfeb39df4c88bcb6"","""",""Mon, 06 Sep 2021 17:38:10 GMT"",""1"",""106"""
"1119978,""0x6f11e78b1871bdc5c6724134cba9a952b822a7e5"","""",""Mon, 06 Sep 2021 17:38:20 GMT"",""1"",""471"""
"1119979,""0x5e382071464a6f9ea29708a045983dc265b0d86d"","""",""Mon, 06 Sep 2021 17:38:30 GMT"",""1"",""101"""
"1119981,""0x1e536b1de80a45d01de69a3287f23bf5d44bf45b"","""",""Mon, 06 Sep 2021 17:38:50 GMT"",""1"",""272"""
